2024-07-10 10:39:17.791 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-07-10 10:39:17.821 [main] INFO  com.roger.WorkPracticeApplication - Starting WorkPracticeApplication using Java 21.0.3 with PID 9056 (C:\Workplace\springboot_project\work-practice\target\classes started by 2407009 in C:\Workplace\springboot_project\work-practice)
2024-07-10 10:39:17.825 [main] INFO  com.roger.WorkPracticeApplication - No active profile set, falling back to 1 default profile: "default"
2024-07-10 10:39:19.141 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-07-10 10:39:19.150 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-07-10 10:39:19.165 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-07-10 10:39:19.165 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.25]
2024-07-10 10:39:19.224 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-10 10:39:19.225 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1154 ms
2024-07-10 10:39:19.669 [main] INFO  org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
2024-07-10 10:39:20.190 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-07-10 10:39:20.212 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-07-10 10:39:20.228 [main] INFO  com.roger.WorkPracticeApplication - Started WorkPracticeApplication in 2.804 seconds (process running for 3.59)
